ds:H00001	B lymphoblastic leukemia/lymphoma
ds:H00083	Allograft rejection
ds:H00084	Graft-versus-host disease
ds:H00085	Agammaglobulinemias
ds:H00086	Hyper IgM syndromes, autosomal recessive type
ds:H00087	Other humoral immunodeficiencies
ds:H00088	Common variable immunodeficiency (CVID)
ds:H00089	IFN-gamma/IL-12 axis
ds:H00090	NK cell defects
ds:H00091	T-B+Severe combined immunodeficiencies (SCIDs)
ds:H00092	T-B-Severe combined immunodeficiencies (SCIDs)
ds:H00093	Combined immunodeficiencies (CIDs)
ds:H00094	Immunodeficiency associated with DNA repair defects
ds:H00095	Ectodermal dysplasia associated immunodeficiency (EDA-ID)
ds:H00096	Defects of toll-like receptor signaling
ds:H00097	Chemokine receptor defect
ds:H00098	Chronic granulomatous disease
ds:H00099	Leukocyte adhesion deficiency (LAD)
ds:H00100	Neutropenic disorders
ds:H00101	Other phagocyte defects
ds:H00102	Classic complement pathway component defects
ds:H00103	Late complement pathway defects
ds:H00104	Alternative complement pathway component defects
ds:H00105	Mannose-binding lectin pathway component defects
ds:H00106	Complement regulatory protein defects
ds:H00107	Other well-defined immunodeficiency syndromes
ds:H00108	Autoimmune lymphoproliferative syndromes (ALPS)
ds:H00109	Familial hemophagocytic lymphohistiocytosis (FHPL)
ds:H00110	Cholera
ds:H00111	Typhoid fever
ds:H00112	Paratyphoid fever
ds:H00113	Salmonellosis
ds:H00114	Fructose-1,6-bisphosphatase deficiency
ds:H00115	Congenital sucrase-isomaltase deficiency; Disaccharide intolerance I
ds:H00116	Congenital lactase deficiency; Disaccharide intolerance II
ds:H00117	Primary hyperoxaluria (HP)
ds:H00118	Congenital disorders of glycosylation (CDG) type I
ds:H00119	Congenital disorders of glycosylation (CDG) type II
ds:H00120	Muscular dystrophy-dystroglycanopathy type A
ds:H00122	Multiple exostoses
ds:H00123	Mucopolysaccharidosis type IV (MPS4)
ds:H00124	GM2 gangliosidoses
ds:H00125	Fabry disease
ds:H00126	Gaucher disease
ds:H00127	Metachromatic leukodystrophy (MLD)
ds:H00128	Mucopolysaccharidosis type I (MPS1); Hurler-Scheie syndrome (MPS1HS); Hurler syndrome (MPS1H); Scheie syndrome (MPS1S)
ds:H00129	Mucopolysaccharidosis type II (MPS2); Hunter syndrome
ds:H00130	Mucopolysaccharidosis type III (MPS3)
ds:H00131	Mucopolysaccharidosis type VI (MPS6); Maroteaux-Lamy syndrome
ds:H00132	Mucopolysaccharidosis type VII (MPS7); Sly syndrome
ds:H00133	Mucopolysaccharidosis type IX (MPS9); Hyaluronidase deficiency
ds:H00134	X-linked ichthyosis (XLI)
ds:H00135	Krabbe disease; Globoid cell leukodystrophy
ds:H00136	Niemann-Pick disease type C (NPC)
ds:H00137	Niemann-Pick disease (NPD), type A/ B
ds:H00138	Farber lipogranulomatosis; Farber disease
ds:H00139	alpha-Mannosidosis
ds:H00140	beta-Mannosidosis
ds:H00141	Fucosidosis
ds:H00142	Sialidosis; Mucolipidosis I
ds:H00143	Mucolipidosis II; I-cell disease
ds:H00144	Mucolipidosis IV
ds:H00145	Aspartylglucosaminuria (AGU)
ds:H00146	Alpha-N-acetylgalactosaminidase deficiency
ds:H00147	Sialuria
ds:H00148	Lysosomal acid lipase deficiency
ds:H00149	Neuronal ceroid lipofuscinosis (NCL)
ds:H00150	Danon disease; X-linked vacuolar cardiomyopathy and myopathy
ds:H00151	Cerebrotendinous xanthomatosis; Van Bogaert-Scherer-Epstein Disease
ds:H00152	Sitosterolemia
ds:H00153	Familial combined hyperlipidemia (FCHL)
ds:H00154	Hyperlipoproteinemia, type I
ds:H00155	Familial hypercholesterolemia; Autosomal dominant hypercholesterolaemia
ds:H00156	Hyperlipoproteinemia, type III; Dysbetalipoproteinemia
ds:H00157	Hyperlipoproteinemia, type V
ds:H00158	Lecithin:cholesterol acyltransferase deficiency; Norum disease; Fish-eye disease
ds:H00159	Tangier disease
ds:H00160	Abetalipoproteinemia; Bassen-Kornzweig Disease
ds:H00161	Smith-Lemli-Opitz syndrome
ds:H00162	Sjogren-Larsson syndrome
ds:H00163	Alkaptonuria
ds:H00164	Carbamoyl phosphate synthetase I deficiency
ds:H00165	Tyrosinemia
ds:H00166	Hermansky-Pudlak syndrome (HPS)
ds:H00167	Phenylketonuria (PKU); Hyperphenylalaninemia, BH4-deficient
ds:H00168	Oculocutaneous albinism (OCA)
ds:H00169	Ocular albinism; Ocular albinism, type I (OA1); Waardenburg syndrome, type II (WS2-OA)
ds:H00170	Piebaldism
ds:H00171	Histidinemia
ds:H00172	Maple syrup urine disease (MSUD)
ds:H00173	Isovaleric acidemia (IVA)
ds:H00174	Methylmalonic aciduria (MMA); Methylmalonic acidemia
ds:H00175	Propionic acidemia
ds:H00176	Adrenoleukodystrophy (ALD)
ds:H00177	Adrenoleukodystrophy, neonatal (NALD)
ds:H00178	Glutaric acidemia
ds:H00179	3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
ds:H00180	Holocarboxylase synthetase deficiency; Multiple carboxylase deficiency
ds:H00181	3-Methylcrotonylglycinuria; 3-Methylcrotonyl-CoA carboxylase deficiency
ds:H00182	Cystathioninuria
ds:H00183	Homocystinuria
ds:H00184	Hypermethioninemia
ds:H00185	Citrullinemia (CTLN)
ds:H00186	Hyperargininemia
ds:H00187	Ornithine transcarbamylase deficiency
ds:H00188	Hyperlysinemia
ds:H00189	Ornithinaemia; Gyrate Atrophy
ds:H00190	Hyperprolinemia (HP)
ds:H00191	Nonketotic hyperglycinemia; Glycine encephalopathy (GCE)
ds:H00192	Xanthinuria
ds:H00193	Dihydropyrimidine dehydrogenase deficiency
ds:H00194	Lesch-Nyhan syndrome; Hypoxanthine-guanine phosophoribosyltransferase deficiency
ds:H00195	Adenine phosphoribosyltransferase deficiency; 2,8-Dihydroxyadenine urolithiasis
ds:H00196	Phosphoribosylpyrophosphate synthetase I superactivity
ds:H00197	Adenylosuccinate lyase deficiency
ds:H00198	Orotic aciduria
ds:H00199	Dihydropyrimidinase deficiency; Dihydropyrimidinuria
ds:H00200	Beta-ureidopropionase deficiency
ds:H00201	Erythropoietic porphyria (EP)
ds:H00202	Hepatic porphyria
ds:H00203	Acatalasemia; Takahara's disease
ds:H00204	Infantile Refsum disease (IRD); Infantile phytanic acid storage disease
ds:H00205	Peroxisome biogenesis disorder
ds:H00206	Mevalonate kinase deficiency
ds:H00207	Rhizomelic chondrodysplasia punctata
ds:H00208	Hyperbilirubinemia
ds:H00209	Menkes syndrome
ds:H00210	Wilson disease; Hepatolenticular degeneration
ds:H00211	Hemochromatosis (HFE); Juvenile hemochromatosis (JH)
ds:H00212	Acrodermatitis enteropathica (AEZ)
ds:H00213	Hypophosphatasia
ds:H00214	Hypophosphatemic rickets
ds:H00215	Periodic paralysis
ds:H00216	Congenital adrenal hyperplasia (CAH)
ds:H00217	Pulmonary alveolar proteinosis
ds:H00218	Cystic fibrosis (CF)
ds:H00219	Hemophilia
ds:H00220	Factor V deficiency; Owren disease
ds:H00221	Combined deficiency of factors V and VIII (F5F8D)
ds:H00222	Afibrinogenemia; Dysfibrinogenemia
ds:H00223	Inherited thrombophilia
ds:H00224	Bernard-Soulier syndrome; Giant platelet syndrome
ds:H00225	Thrombotic thrombocytopenic purpura (TTP); Moschcowitz disease; Schulman-Upshaw syndrome
ds:H00226	Glanzmann thrombasthenia
ds:H00227	Congenital amegakaryocytic thrombocytopenia (CAMT)
ds:H00228	Thalassemia
ds:H00229	Sickle cell anemia (SCA)
ds:H00230	Hereditary spherocytosis (SPH)
ds:H00231	Hereditary elliptocytosis (HE)
ds:H00232	Hereditary stomatocytosis (HSt)
ds:H00233	MYH9-related disease
ds:H00234	Pelger-Huet anomaly
ds:H00235	Methemoglobinemia
ds:H00236	Congenital polycythemia; Familial erythrocytosis (ECYT)
ds:H00237	Diamond-Blackfan anemia (DBA)
ds:H00238	Fanconi anemia
ds:H00239	Bartter syndrome
ds:H00240	Gitelman syndrome
ds:H00241	Combined proximal and distal renal tubular acidosis (RTA type 3)
ds:H00242	Liddle syndrome
ds:H00243	Hyperkalemic distal renal tubular acidosis (RTA type 4)
ds:H00244	Pseudohypoparathyroidism
ds:H00245	Calcium sensing receptor (CASR) related disease
ds:H00246	Primary hyperparathyroidism; Familial hyperparathyroidism (HRPT)
ds:H00247	Multiple endocrine neoplasia syndrome (MEN); Wermer syndrome; Sipple's syndrome
ds:H00249	Thyroid hormone resistance syndrome
ds:H00250	Congenital nongoitrous hypothyroidism (CHNG)
ds:H00251	Thyroid dyshormonogenesis; Dyshormogenetic goiter
ds:H00252	Congenital nephrogenic diabetes insipidus (NDI)
ds:H00253	Neurohypophyseal diabetes insipidus (NPDI); Central Diabetes Insipidus
ds:H00254	Growth hormone deficiency; Pituitary dwarfism
ds:H00255	Hypogonadotropic hypogonadism
ds:H00256	Familial glucocorticoid deficiency (FGD)
ds:H00257	Achalasia-Addisonianism-Alacrima syndrome; Triple A syndrome; Allogrove syndrome
ds:H00258	Aldosterone synthase deficiency; Corticosterone methyloxidase type I deficiency; Corticosterone methyloxidase type II deficiency
ds:H00259	Apparent mineralocorticoid excess syndrome; 11-beta-ketoreductase deficiency
ds:H00260	Pigmented micronodular adrenocortical disease (PPNAD)
ds:H00261	Meckel syndrome (MKS); Meckel-Gruber syndrome
ds:H00262	Spina bifida; Myelomeningocele; Myeloschisis
ds:H00263	Acrocallosal syndrome; Greig cephalopolysyndactyly syndrome
ds:H00264	Charcot-Marie-Tooth disease (CMT); Hereditary motor and sensory neuropathy; Peroneal muscular atrophy
ds:H00265	Hereditary sensory and autonomic neuropathy (HSAN)
ds:H00266	Hereditary spastic paraplegia (SPG)
ds:H00267	Holoprosencephaly (HPE)
ds:H00268	Lissencephaly (LIS); Miller-Dieker syndrome (MDLS)
ds:H00269	Primary microcephaly (MCPH)
ds:H00270	Periventricular nodular heterotopia (PVNH)
ds:H00271	Polymicrogyria
ds:H00272	Multiple sulfatase deficiency (MSD)
ds:H00273	Pycnodysostosis
ds:H00274	Papillon-Lefevre syndrome
ds:H00275	Cystinosis
ds:H00276	Galactosialidosis
ds:H00277	Enterohemorrhagic Escherichia coli (EHEC) infection
ds:H00278	Enteropathogenic Escherichia coli (EPEC) infection
ds:H00279	Uropathogenic Escherichia coli (UPEC) infection
ds:H00280	Enterotoxigenic Escherichia coli (ETEC) infection
ds:H00281	GM1 gangliosidosis
ds:H00282	Cryopyrin associated periodic syndrome (CAPS)
ds:H00283	Ebola haemorrhagic fever
ds:H00284	Crimean-Congo hemorrhagic fever
ds:H00285	Blau syndrome
ds:H00286	Crohn's disease
ds:H00287	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne (PAPA) syndrome
ds:H00288	Familial Mediterranean fever (FMF); Familial hereditary periodic fever syndromes
ds:H00289	Recurrent hydatidiform moles (RHM); Familial biparental hydatidiform
ds:H00290	Aicardi-Goutieres syndrome (AGS)
ds:H00291	Familial chilblain lupus (FCL); Chilblain lupus erythematosus (CHLE)
ds:H00292	Hypertrophic cardiomyopathy (HCM)
ds:H00293	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
ds:H00294	Dilated cardiomyopathy (DCM)
ds:H00295	Viral myocarditis
ds:H00296	Defects in RecQ helicases
ds:H00297	Plague
ds:H00298	Yersiniosis
ds:H00299	Shigellosis; Bacillary dysentery
ds:H00300	Enterobacter infection
ds:H00301	Klebsiella infection
ds:H00302	Citrobacter infection
ds:H00303	Serratia infection
ds:H00304	Haemophilus influenzae infection
ds:H00305	Chancroid
ds:H00306	Pasteurellosis
ds:H00307	Vibrio parahaemolyticus infection
ds:H00308	Vibrio vulnificus infection
ds:H00309	Multidrug-resistant Acinetobacter infection
ds:H00310	Q fever
ds:H00311	Legionellosis; Legionnaires disease
ds:H00312	Tularemia
ds:H00313	Multidrug-resistant Pseudomonas aeruginosa infection
ds:H00314	Meningococcal infections
ds:H00315	Gonococcal infections; Gonorrhea
ds:H00316	Glanders
ds:H00317	Melioidosis
ds:H00319	Pertussis; Whooping cough
ds:H00320	Helicobacter pylori infection
ds:H00321	Campylobacter infection; Campylobacteriosis
ds:H00322	Typhus fever
ds:H00323	Spotted fever; Tick-borne rickettsioses
ds:H00324	Scrub typhus
ds:H00325	Brucellosis
ds:H00326	Bartonellosis
ds:H00327	Trench fever
ds:H00328	Anthrax
ds:H00329	Foodborne Bacillus cereus intoxication
ds:H00330	Methicillin-resistant Staphylococcal aureus (MRSA) infection
ds:H00331	Vancomycin-resistant Staphylococcal aureus (VRSA) infection
ds:H00332	Listeriosis
ds:H00333	Streptococcal infection
ds:H00334	Bacterial endocarditis; Infective endocarditis
ds:H00335	Foodborne Clostridium perfringens intoxication
ds:H00336	Gas gangrene; Clostridial myonecrosis
ds:H00337	Tetanus
ds:H00338	Pseudomembranous colitis
ds:H00339	Botulism
ds:H00340	Vancomycin-resistant enterococci infection
ds:H00341	Mycoplasma pneumonia
ds:H00342	Tuberculosis
ds:H00343	Diphtheria
ds:H00344	Leprosy; Hansen disease
ds:H00345	Nocardiosis
ds:H00346	Extrinsic allergic alveolitis (EAA); Hypersensitivity pneumonitis
ds:H00347	Chlamydia infection
ds:H00348	Lymphogranuloma venereum
ds:H00349	Trachoma
ds:H00350	Psittacosis; Parrot fever
ds:H00351	Chlamydial pneumonia
ds:H00352	Whipple's disease
ds:H00353	Borreliosis
ds:H00354	Syphilis
ds:H00355	Leptospirosis; Weil's disease
ds:H00356	Cryptosporidiosis
ds:H00357	African trypanosomiasis; Sleeping sickness
ds:H00358	Chagas disease; American trypanosomiasis
ds:H00359	Leishmaniasis
ds:H00360	Amoebiasis
ds:H00361	Malaria
ds:H00362	Giardiasis; Lambliasis
ds:H00363	Candidiasis
ds:H00364	Cryptococcosis
ds:H00365	Herpes simplex infection; HSV infection
ds:H00366	Varicella; Chickenpox; Herpes zoster; Shingles
ds:H00367	Infectious mononucleosis; Epstein-Barr virus (EBV) infection
ds:H00368	Cytomegalovirus infection; CMV infection
ds:H00369	Exanthema subitum; Roseolovirus infection; Roseola; Pityriasis rosea
ds:H00370	Progressive multifocal leukoencephalopathy (PML)
ds:H00371	Adenovirus infection
ds:H00372	Smallpox; Variola
ds:H00373	Monkeypox
ds:H00374	Viral wart
ds:H00375	SBCAD deficiency; Short-branched-chain acyl-CoA dehydrogenase deficiency
ds:H00376	Acute poliomyelitis; Polio
ds:H00377	Rabies
ds:H00378	Lyssavirus infection; Rabies-related virus infection
ds:H00379	Mosquito-borne viral encephalitis
ds:H00380	Tick-borne viral encephalitis
ds:H00381	Dengue
ds:H00382	Mosquito-borne viral fevers
ds:H00383	Arthropod-borne viral fevers
ds:H00384	Yellow fever
ds:H00385	South American (new world arenaviral) hemorrhagic fevers
ds:H00386	Lassa fever
ds:H00387	B virus infection
ds:H00388	Non-chlamydial non-gonococcal urethritis
ds:H00389	Hemorrhagic fever with renal syndrome (HFRS)
ds:H00390	Hantavirus pulmonary syndrome (HPS)
ds:H00391	Henipavirus infection
ds:H00392	VLCAD deficiency; Very long-chain acyl-CoA dehydrogenase deficiency
ds:H00393	Enterovirus infection
ds:H00394	Measles
ds:H00395	Rubella
ds:H00396	Mumps
ds:H00397	Ross River fever
ds:H00398	Influenza
ds:H00399	Avian influenza; Bird flu; H5N1 flu
ds:H00400	Parainfluenza infections
ds:H00401	Respiratory syncytial virus infection; RSV infection
ds:H00402	Severe acute respiratory syndrome; SARS
ds:H00403	Disorders of nucleotide excision repair
ds:H00404	Erythema infectiosum; Fifth disease
ds:H00405	Marburg disease
ds:H00406	Acquired immunodeficiency syndrome (AIDS)
ds:H00407	Peroxisomal beta-oxidation enzyme deficiency
ds:H00408	Type I diabetes mellitus
ds:H00409	Type II diabetes mellitus
ds:H00410	Maturity onset diabetes of the young (MODY)
ds:H00411	Hepatitis A; Hepatitis A virus (HAV) infection
ds:H00412	Hepatitis B; Hepatitis B virus (HBV) infection
ds:H00413	Hepatitis C; Hepatitis C virus (HCV) infection
ds:H00414	Hepatitis D; Hepatitis delta virus (HDV) infection
ds:H00415	Hepatitis E; Hepatitis E virus (HEV) infection
ds:H00416	Omsk hemorrhagic fever
ds:H00417	Alstrom syndrome (AS)
ds:H00418	Bardet-Biedl syndrome (BBS)
ds:H00419	Congenital generalized lipodystrophy (CGL)
ds:H00420	Familial partial lipodystrophy (FPL)
ds:H00421	Mucopolysaccharidosis (MPS)
ds:H00422	Glycoproteinoses
ds:H00423	Defects in the degradation of sulfatide
ds:H00424	Defects in the degradation of sphingomyelin
ds:H00425	Lysosomal cysteine protease deficiencies
ds:H00426	Defects in the degradation of ganglioside
ds:H00427	Relapsing fever
ds:H00428	Distal renal tubular acidosis (RTA type 1)
ds:H00429	Proximal renal tubular acidosis (RTA type 2)
ds:H00430	Fibrodysplasia ossificans progressiva (FOP)
ds:H00431	Ossification of the posterior longitudinal ligament of spine (OPLL)
ds:H00432	Hereditary dentine disorders
ds:H00433	Holt-Oram syndrome
ds:H00434	Camurati-Engelmann disease; Progressive diaphyseal dysplasia
ds:H00435	Toxoplasmosis
ds:H00436	Osteopetrosis
ds:H00437	Paget's disease of bone
ds:H00438	Nasu-Hakola disease; Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL)
ds:H00439	Shwachman-Diamond syndrome (SDS)
ds:H00440	Rett syndrome
ds:H00441	Progressive osseous heteroplasia (POH)
ds:H00442	Campomelic dysplasia (CD)
ds:H00443	Osteoglophonic dysplasia (OD); Osteoglophonic dwarfism (OGD)
ds:H00444	Osteopathia striata with cranial sclerosis
ds:H00445	Osteoarthritis with mild chondrodysplasia
ds:H00446	Craniofacial-deafness-hand syndrome
ds:H00447	HEM skeletal dysplasia; Greenberg dysplasia
ds:H00448	Familial osteochondritis dissecans; Osteochondritis dissecans, short stature, and early-onset osteoarthritis
ds:H00449	Oculodentodigital dysplasia
ds:H00450	Sclerosing bone dysplasias
ds:H00451	Osteoporosis-pseudoglioma syndrome (OPPG)
ds:H00452	Buschke-Ollendorff syndrome; Osteopoikilosis
ds:H00453	Branchio-oto-renal syndrome; BOR syndrome
ds:H00454	Oral-facial-digital syndrome
ds:H00455	Spinal muscular atrophy (SMA)
ds:H00456	Fronto-Otopalatodigital Osteodysplasia
ds:H00457	Primary hypertrophic osteoarthropathy (PHO)
ds:H00458	Craniosynostosis
ds:H00459	Synpolydactyly
ds:H00460	Hand-foot-genital syndrome
ds:H00461	FLNB-related disorders
ds:H00462	Stuve-Wiedemann syndrome
ds:H00463	Currarino syndrome
ds:H00464	Patella dysplasias
ds:H00465	Fragile X syndrome (FXS)
ds:H00466	Grebe dysplasia; Acromesomelic dysplasia Hunter-Thompson type
ds:H00467	Fibular hypoplasia and complex brachydactyly; Du Pan syndrome
ds:H00468	Acromesomelic dysplasia with genital anomalies
ds:H00469	Mitochondrial DNA depletion syndrome (MDS)
ds:H00470	Acromesomelic dysplasia, Maroteaux type
ds:H00471	Split-hand/foot malformation (SHFM)
ds:H00472	Multicentric osteolysis, nodulosis, and arthropathy (MONA); Torg syndrome; Torg-Winchester syndrome
ds:H00473	Mitochondrial complex I deficiency
ds:H00474	Schneckenbecken dysplasia
ds:H00475	Enlarged parietal foramina/cranium bifidum
ds:H00476	Multiple epiphyseal dysplasia (MED)
ds:H00477	Pseudoachondroplasia (PSACH)
ds:H00478	Prader-Willi syndrome (PWS)
ds:H00479	Metaphyseal dysplasias
ds:H00480	Non-syndromic X-linked mental retardation
ds:H00481	Cone-rod dystrophy and cone dystrophy
ds:H00482	Brachydactyly
ds:H00483	Brachydactyly type C
ds:H00484	Other brachydactylies
ds:H00485	Robinow syndrome
ds:H00486	Sclerosteosis
ds:H00487	Trichodentoosseous dysplasia
ds:H00488	MCAD deficiency; Medium-chain acyl-CoA dehydrogenase deficiency; ACADM deficiency
ds:H00489	LCHAD deficiency; Long-chain 3-hydroxyacyl CoA dehydrogenase deficiency
ds:H00490	Diaphyseal dysplasia with anemia (Ghosal)
ds:H00491	Craniometaphyseal dysplasia
ds:H00492	SHOX-related haploinsufficiency disorders
ds:H00493	Heparan sulfate proteoglycan gene defects
ds:H00494	Desbuquois syndrome; Desbuquois dysplasia (DBQD)
ds:H00495	Eiken dysplasia
ds:H00496	Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD)
ds:H00497	Cherubism
ds:H00498	Gnathodiaphyseal dysplasia
ds:H00499	Spondylocarpotarsal synostosis syndrome
ds:H00500	Keutel syndrome
ds:H00501	Fibrous dysplasia, polyostotic; Albright hereditary osteodystrophy
ds:H00502	Pallister-Hall syndrome
ds:H00503	EVC-related disorders
ds:H00504	Rubinstein-Taybi syndrome
ds:H00505	FGFR3-related short limb skeletal dysplasia
ds:H00506	Osteogenesis imperfecta
ds:H00507	Dyskeratosis congenita (DC)
ds:H00508	Blomstrand syndrome; Blomstrand chondrodysplasia
ds:H00509	3M syndrome
ds:H00510	Feingold syndrome
ds:H00511	Short rib-polydactyly syndrome
ds:H00512	Permanent neonatal diabetes mellitus (PNDM)
ds:H00513	Transient neonatal diabetes mellitus (TNDM)
ds:H00514	Bruck syndrome
ds:H00515	The DTDST-related disorders
ds:H00516	Cleft lip and/or cleft palate
ds:H00517	Spondylocostal dysostosis (SCD)
ds:H00518	RMRP related disorders
ds:H00519	Type XI collagenopathies
ds:H00520	Type II collagenopathies
ds:H00521	Cleidocranial dysplasia
ds:H00522	TRPV4-related skeletal dysplasias
ds:H00523	Noonan syndrome and related disorders
ds:H00524	Scapuloperoneal spinal muscular atrophy (SPSMA)
ds:H00525	Disorders of mitochondrial fatty-acid oxidation
ds:H00526	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome; Jacobs syndrome
ds:H00527	Retinitis pigmentosa (RP)
ds:H00528	Frontonasal dysplasia
ds:H00529	Cranioectodermal dysplasia
ds:H00530	Joubert syndrome
ds:H00531	Venous malformations
ds:H00532	Parkes Weber syndrome
ds:H00533	Hereditary hemorrhagic telangiectasia (HHT); Osler's disease
ds:H00534	Cerebral cavernous malformation
ds:H00535	Lymphedemas
ds:H00536	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL)
ds:H00537	Nephronophthisis
ds:H00538	Senior-Loken syndrome
ds:H00539	PTEN hamartoma tumor syndrome (PHTS)
ds:H00540	Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID); Ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema
ds:H00541	Autosomal dominant tubulointerstitial kidney disease (ADTKD)
ds:H00542	Polycystic kidney disease
ds:H00543	Renal-hepatic-pancreatic dysplasia
ds:H00544	Septo-optic dysplasia
ds:H00545	Polycystic liver disease
ds:H00546	Atrial septal defect
ds:H00547	Atrioventricular septal defect; Atrioventricular canal defect
ds:H00548	Brunner syndrome; MAOA deficiency
ds:H00549	Tetralogy of Fallot
ds:H00550	Complete transposition of the great arteries
ds:H00551	Alagille syndrome
ds:H00552	Chromosome Xp21 deletion syndrome
ds:H00553	Congenital supravalvar aortic stenosis
ds:H00554	Bicuspid aortic valve; Aortic valve disease
ds:H00555	Char syndrome
ds:H00556	CHARGE syndrome
ds:H00557	Cutis laxa
ds:H00558	Geroderma osteodysplasticum
ds:H00559	von Hippel-Lindau syndrome
ds:H00560	Pseudoxanthoma elasticum
ds:H00561	Brachydactyly-mental retardation syndrome; Chromosome 2q37 deletion syndrome
ds:H00562	Dystrophinopathies
ds:H00563	Emery-Dreifuss muscular dystrophy
ds:H00564	Primary ciliary dyskinesia
ds:H00565	Sarcoglycanopathies
ds:H00566	Dysferlinopathies
ds:H00567	Caveolinopathies
ds:H00568	Myotonic dystrophy (DM)
ds:H00569	Aarskog-Scott syndrome; Faciogenital dysplasia
ds:H00570	Kabuki syndrome
ds:H00571	Johanson-Blizzard syndrome
ds:H00572	ESCO2-related disorders
ds:H00573	Townes-Brocks syndrome
ds:H00574	Coffin-Lowry syndrome (CLS)
ds:H00575	Renal tubular dysgenesis
ds:H00576	Pierson syndrome
ds:H00577	Symptomatic generalized epilepsies
ds:H00578	Epstein syndrome
ds:H00579	Hereditary angiopathy with nephropathy, aneurysms, and muscle cramps (HANAC)
ds:H00580	Schimke immunoosseous dysplasia
ds:H00581	Alport syndrome
